FID,STFID,OID_,AREA_HA,pop2000,hden2000,zoning
328,4.20E+14,0,10,5,0.3,3
329,4.20E+14,0,111.9,28,0.09,2
330,4.20E+14,0,39.5,18,0.15,1
331,4.20E+14,0,52.5,17,0.11,3
332,4.20E+14,0,4.5,2,0.22,1
333,4.20E+14,0,4.2,0,0,2
334,4.20E+14,0,4.5,8,0.89,1
335,4.20E+14,0,0.5,0,0,3
336,4.20E+14,0,8.2,3,0.24,2
337,4.20E+14,0,3.4,0,0,2
338,4.20E+14,0,76.9,33,0.14,2
339,4.20E+14,0,24.8,10,0.16,3
340,4.20E+14,0,71.1,6,0.04,2
341,4.20E+14,0,29.6,23,0.27,3
342,4.20E+14,0,3.8,0,0,2
343,4.20E+14,0,0.4,0,0,1
344,4.20E+14,0,16.8,0,0,3
345,4.20E+14,0,27.6,17,0.22,1
346,4.20E+14,0,26.8,13,0.22,1
347,4.20E+14,0,0.8,0,0,1
348,4.20E+14,0,80.1,0,0,2
349,4.20E+14,0,41.1,8,0.1,1
350,4.20E+14,0,62.9,13,0.11,3
351,4.20E+14,0,46.2,146,1.39,3
352,4.20E+14,0,4.7,4,0.21,1
353,4.20E+14,0,63.9,47,0.27,3
354,4.20E+14,0,50.8,52,0.49,2
355,4.20E+14,0,7.2,17,0.97,3
356,4.20E+14,0,112.5,80,0.24,3
357,4.20E+14,0,58.5,45,0.29,2
358,4.20E+14,0,110.4,20,0.09,1
359,4.20E+14,0,4.6,7,0.87,2
360,4.20E+14,0,183.9,34,0.07,2
361,4.20E+14,0,4.2,0,0,3
362,4.20E+14,0,15.6,36,0.45,1
363,4.20E+14,0,37,27,0.05,3
364,4.20E+14,0,3.2,0,0,1
365,4.20E+14,0,0.3,9,13.33,2
366,4.20E+14,0,0.8,29,11.25,3
367,4.20E+14,0,0.8,18,7.5,1
368,4.20E+14,0,0.7,13,7.14,3
369,4.20E+14,0,0.1,12,50,1
370,4.20E+14,0,0.2,8,10,3
371,4.20E+14,0,0.7,12,7.14,2
372,4.20E+14,0,1.2,11,4.17,2
373,4.20E+14,0,0.3,41,10,3
374,4.20E+14,0,4,304,0,2
375,4.20E+14,0,17.7,713,0.28,1
376,4.20E+14,0,1.5,25,5.33,3
377,4.20E+14,0,0.9,73,31.11,1
378,4.20E+14,0,1.6,56,7.5,2
379,4.20E+14,0,0.4,38,10,3
380,4.20E+14,0,0.4,23,20,1
381,4.20E+14,0,0.6,8,3.33,2
382,4.20E+14,0,0.6,102,40,2
383,4.20E+14,0,0.2,33,105,2
384,4.20E+14,0,0.6,64,38.33,1
385,4.20E+14,0,0.6,32,26.67,2
386,4.20E+14,0,0.4,0,0,1
387,4.20E+14,0,0.5,0,0,1
388,4.20E+14,0,0.5,63,0,3
389,4.20E+14,0,0.3,0,0,1
390,4.20E+14,0,0.1,0,0,2
391,4.20E+14,0,10.3,52,2.33,3
392,4.20E+14,0,6.7,6,0.6,1
393,4.20E+14,0,5.2,47,3.65,3
394,4.20E+14,0,0.9,66,7.78,3
395,4.20E+14,0,1.4,20,1.43,2
396,4.20E+14,0,1.6,33,10.63,2
397,4.20E+14,0,1.4,49,16.43,3
398,4.20E+14,0,1.2,36,15,3
399,4.20E+14,0,2.5,55,10.4,2
400,4.20E+14,0,1.1,22,10.91,1
401,4.20E+14,0,0.8,51,22.5,1
402,4.20E+14,0,1.4,44,19.29,2
403,4.20E+14,0,1.4,138,11.43,1
404,4.20E+14,0,2.6,200,14.62,2
405,4.20E+14,0,2.9,69,9.66,1
406,4.20E+14,0,0.9,8,4.44,1
407,4.20E+14,0,6.8,40,2.21,3
408,4.20E+14,0,0.7,73,18.57,2
409,4.20E+14,0,2.4,121,34.17,1
410,4.20E+14,0,1.1,16,1.82,3
411,4.20E+14,0,1,17,10,2
412,4.20E+14,0,0.8,139,1.25,1
413,4.20E+14,0,10,189,1.2,2
414,4.20E+14,0,0.5,0,0,1
415,4.20E+14,0,7.5,27,1.2,3
416,4.20E+14,0,0.8,26,11.25,3
417,4.20E+14,0,1.1,21,12.73,3
418,4.20E+14,0,0.5,15,18,1
419,4.20E+14,0,1.5,44,15.33,1
420,4.20E+14,0,1.3,2,0.77,1
421,4.20E+14,0,0.4,110,172.5,1
422,4.20E+14,0,1.1,87,28.18,2
423,4.20E+14,0,1,50,38,1
424,4.20E+14,0,1.3,73,35.38,3
425,4.20E+14,0,0.4,4,10,3
426,4.20E+14,0,2.3,164,45.65,2
427,4.20E+14,0,1.9,147,31.58,3
428,4.20E+14,0,1.8,71,21.11,1
429,4.20E+14,0,1.7,8,1.76,1
430,4.20E+14,0,0.9,20,10,1
431,4.20E+14,0,0.6,10,11.67,3
432,4.20E+14,0,0.8,18,8.75,3
433,4.20E+14,0,2,49,13,3
434,4.20E+14,0,1.4,3,1.43,1
435,4.20E+14,0,0.9,38,13.33,2
436,4.20E+14,0,1.9,8,2.11,2
437,4.20E+14,0,4.1,100,18.05,3
438,4.20E+14,0,3.2,9,1.56,2
439,4.20E+14,0,1.3,55,19.23,1
440,4.20E+14,0,1,54,22,1
441,4.20E+14,0,0.9,28,17.78,2
442,4.20E+14,0,0.4,6,7.5,2
443,4.20E+14,0,1,23,9,2
444,4.20E+14,0,0.8,12,10,2
445,4.20E+14,0,0.4,19,25,2
446,4.20E+14,0,0.6,14,8.33,2
447,4.20E+14,0,0.5,17,22,1
448,4.20E+14,0,0.3,11,20,2
449,4.20E+14,0,10.2,85,4.02,1
450,4.20E+14,0,2.5,47,10.8,3
451,4.20E+14,0,0.8,12,7.5,3
452,4.20E+14,0,26.4,125,2.84,3
453,4.20E+14,0,0.3,13,26.67,3
454,4.20E+14,0,0.6,14,30,2
455,4.20E+14,0,0.7,56,18.57,3
456,4.20E+14,0,0.7,44,24.29,3
457,4.20E+14,0,1,38,23,1
458,4.20E+14,0,0.3,17,20,1
459,4.20E+14,0,0.8,17,7.5,3
460,4.20E+14,0,0.2,25,45,1
461,4.20E+14,0,0.6,35,26.67,2
462,4.20E+14,0,2.5,15,4.4,3
463,4.20E+14,0,0.8,24,22.5,1
464,4.20E+14,0,0.3,39,43.33,1
465,4.20E+14,0,0.7,72,35.71,1
466,4.20E+14,0,0.6,0,0,2
467,4.20E+14,0,0.6,38,31.67,2
468,4.20E+14,0,0.3,56,46.67,1
469,4.20E+14,0,0.2,27,60,1
470,4.20E+14,0,0.6,39,16.67,3
471,4.20E+14,0,0.2,0,0,1
472,4.20E+14,0,0.4,0,0,2
473,4.20E+14,0,2.3,131,26.96,2
474,4.20E+14,0,2.2,100,12.27,3
475,4.20E+14,0,7,9,1.14,2
476,4.20E+14,0,0.8,14,6.25,3
477,4.20E+14,0,5.6,74,8.75,2
478,4.20E+14,0,1.4,12,7.86,2
479,4.20E+14,0,1,0,0,3
480,4.20E+14,0,0.1,0,0,2
481,4.20E+14,0,0.6,6,6.67,2
482,4.20E+14,0,2.4,6,0.83,1
483,4.20E+14,0,1.7,15,7.06,2
484,4.20E+14,0,3.2,59,8.75,3
485,4.20E+14,0,2.7,38,6.3,2
486,4.20E+14,0,0.9,15,10,3
487,4.20E+14,0,2,38,8.5,1
488,4.20E+14,0,0.3,8,16.67,3
489,4.20E+14,0,1.3,0,0,3
490,4.20E+14,0,2.8,38,7.5,1
491,4.20E+14,0,1.8,18,5.56,2
492,4.20E+14,0,1.8,29,8.33,1
493,4.20E+14,0,1.1,31,12.73,1
494,4.20E+14,0,1.9,2,0.53,3
495,4.20E+14,0,1.5,0,0,3
496,4.20E+14,0,1.2,19,7.5,2
497,4.20E+14,0,1.1,8,8.18,2
498,4.20E+14,0,2.2,29,6.36,1
499,4.20E+14,0,2,33,7,2
500,4.20E+14,0,2.1,23,4.29,3
